"Owner","Namespace","Repo","Year","Month","Start Date","Unique IPs","Pull by tag","Pull by digest","Version check"
"osrf","osrf","ros",2023,6,"2023-06-01",34850,50325,2326,27361
"osrf","osrf","ros2_packaging_aarch64_jammy_39_snapshot",2023,6,"2023-06-01",32,43,0,2
"osrf","osrf","debian_armhf",2023,6,"2023-06-01",20,29,0,0
"osrf","osrf","space-ros",2023,6,"2023-06-01",2,2,0,0
"osrf","osrf","subt-virtual-testbed",2023,6,"2023-06-01",28,35,0,9
"osrf","osrf","gazebo",2023,6,"2023-06-01",26,58,0,9
"osrf","osrf","ros2",2023,6,"2023-06-01",712,813,347,291
"osrf","osrf","ros_eol",2023,6,"2023-06-01",19,28,0,0
"osrf","osrf","sros",2023,6,"2023-06-01",20,29,0,0
"osrf","osrf","vrx",2023,6,"2023-06-01",20,31,0,0
"osrf","osrf","icra2023_ros2_gz_tutorial",2023,6,"2023-06-01",8,10,0,1
"osrf","osrf","lrauv",2023,6,"2023-06-01",20,29,0,0
"osrf","osrf","ubuntu_armhf",2023,6,"2023-06-01",102,1678,2,8446
"osrf","osrf","car_demo",2023,6,"2023-06-01",19,29,0,0
"osrf","osrf","debian_arm64",2023,6,"2023-06-01",44,55,0,0
"osrf","osrf","vmrc",2023,6,"2023-06-01",18,56,0,0
"osrf","osrf","ubuntu_32bit",2023,6,"2023-06-01",19,29,0,0
"osrf","osrf","ros_legacy",2023,6,"2023-06-01",70,30,82,0
"osrf","osrf","ros2_batch_ci_jammy_39_snapshot",2023,6,"2023-06-01",19,28,0,0
"osrf","osrf","ros2_packaging_jammy_39_snapshot",2023,6,"2023-06-01",19,29,0,0
"osrf","osrf","ubuntu_arm64",2023,6,"2023-06-01",107,1248,6,28805
"osrf","osrf","ubuntu_i386",2023,6,"2023-06-01",23,33,0,0
"osrf","osrf","mbzirc",2023,6,"2023-06-01",27,35,1,6
"osrf","osrf","trusty-ros-indigo",2023,6,"2023-06-01",20,31,0,0
"osrf","osrf","ros2_batch_ci_aarch64_jammy_39_snapshot",2023,6,"2023-06-01",21,30,0,0
