"Namespace","Repo","Reference","Year","Month","Start Date","Unique IPs","Pull by tag","Pull by digest","Version check"
"osrf","debian_arm64","stretch",2022,10,"2022-10-01",11,11,0,0
"osrf","ros","sha256:0c0268aa3f6fab950443328ff86d5d9f1ce2f40e4f3a78c542bc8a25666b1da3",2022,10,"2022-10-01",16,0,26,0
"osrf","ros2_batch_ci_jammy_39_snapshot","latest",2022,10,"2022-10-01",17,21,0,0
"osrf","ros","sha256:390a612e9810072c6beb1cec59378e057274c6a7792358e18ab02b027c764c21",2022,10,"2022-10-01",2,0,2,0
"osrf","ros","sha256:f07422ab7a7994f6c9e79ba199173c54057f67e9b4efa99d6536e867c80f59f5",2022,10,"2022-10-01",18,0,30,0
"osrf","debian_armhf","sha256:0d352004d6b300333a1f1f6c872fe4cd68f6a41bc2c4849381f7cbd0c517a6b7",2022,10,"2022-10-01",1,0,1,0
"osrf","ros","eloquent-ros1-bridge",2022,10,"2022-10-01",1,1,0,0
"osrf","ros_legacy","sha256:fa835596f016a552b14ad26188381f6a642178a467d71bb72a6776b813687c07",2022,10,"2022-10-01",2,0,2,0
"osrf","ros","sha256:1946f4636a73a9fb30cb16971c09d8e01d396bfe9d7ef8bb887fd588f71a7b1a",2022,10,"2022-10-01",2,0,2,0
"osrf","ros_legacy","sha256:5f84a078b5cf8db61d0679deec5e6a4e21784e95a7f1005a212336e75391f1aa",2022,10,"2022-10-01",2,0,2,0
"osrf","gazebo","sha256:f29e58bfce09d69ab344969202f994f66c5bb0369d2989bfe30ed3f4758b2493",2022,10,"2022-10-01",3,0,3,0
"osrf","ros2","sha256:6fcf9fa2e4489a60231eee909859475445933576affba8790906bb305c438021",2022,10,"2022-10-01",2,0,2,0
"osrf","ros","sha256:747aca564a8df3585e1f450d3ca6fbf2f80daa29de41be51d283e783586af189",2022,10,"2022-10-01",1,0,1,0
"osrf","ros_eol","sha256:174ad1cbd40733b96407453a2b32949ce572c9abfd25d045dfd634894ecb5ce0",2022,10,"2022-10-01",1,0,1,0
"osrf","subt-virtual-testbed","models_latest",2022,10,"2022-10-01",1,1,0,0
"osrf","ros","sha256:94cac0e43030b6f7621e301a2341856ff0d13eb2dbf49e358a8843353df28379",2022,10,"2022-10-01",2,0,2,0
"osrf","ros_legacy","sha256:2911b6415fab48c79e881634016a7ae2bc3a4da308441185ecc10316eaae5f0a",2022,10,"2022-10-01",1,0,1,0
"osrf","ros","ardent-ros1-bridge",2022,10,"2022-10-01",1,2,0,1
"osrf","ubuntu_arm64","sha256:e8e84f6873d60e6fc98ae34a4f59bd9a22981a985fc2beb38c07abd24c130101",2022,10,"2022-10-01",1,0,1,0
"osrf","ros","sha256:14cb898430d62482ebc7c71c6b4bd05e2446e6de5ef18a53819e70fa69a91f5a",2022,10,"2022-10-01",1,0,1,0
