"Namespace","Repo","Reference","Year","Month","Start Date","Unique IPs","Pull by tag","Pull by digest","Version check"
"osrf","ros2_packaging_jammy_39_snapshot","sha256:0a072bb68cdf89bc707a9bf2c2c7ce66d88f97e5a800326b9c4ca589ccd17850",2022,10,"2022-10-01",2,0,2,0
"osrf","ros","sha256:a1281886d3aa762925049250428cffeb87c8042cfb9cff2e2ad419b8b87ec8d3",2022,10,"2022-10-01",7,0,7,0
"osrf","ros2","sha256:89f5e484b8695d9641a43114446b953c9dd5742c6471cd2ce86777def551db79",2022,10,"2022-10-01",2,0,2,0
"osrf","ros","sha256:3b9a2be5e08779b60ae8ee786d0d7581840d60767988fe5201aa3039943cb456",2022,10,"2022-10-01",1,0,1,0
"osrf","ros2","sha256:bb81c7aed08f84b539566088682e62a411e8f2e5af4f1037957b218939773fa6",2022,10,"2022-10-01",2,0,2,0
"osrf","ros_legacy","sha256:ced5f3c47f311e4d5ecf0b9395104548bae9c8ebef5231566bab34d810c06021",2022,10,"2022-10-01",2,0,2,0
"osrf","ros_legacy","sha256:44f5dcf298aee05469c369c57e58299deaa81879c68af16b510cf3d81d157b1d",2022,10,"2022-10-01",2,0,2,0
"osrf","ros_legacy","sha256:694ed3140d16a139ed535ccb87172a70200d7745efe48c6f09efd4499a6f1c90",2022,10,"2022-10-01",2,0,2,0
"osrf","ros","melodic-desktop-bionic",2022,10,"2022-10-01",24581,26853,0,162
"osrf","ros","galactic-desktop",2022,10,"2022-10-01",1657,2315,0,2386
"osrf","ros","foxy-desktop-focal",2022,10,"2022-10-01",345,383,0,39
"osrf","ros","galactic-desktop-focal",2022,10,"2022-10-01",385,535,0,208
"osrf","ros","humble-desktop-full",2022,10,"2022-10-01",259,486,0,245
"osrf","ros","sha256:359eed329bfed4c287a8209172a4ba5be99213502636571a6ea93884f62c0fa9",2022,10,"2022-10-01",29,0,38,0
"osrf","ros2","testing",2022,10,"2022-10-01",52,54,0,4
"osrf","ubuntu_arm64","jammy",2022,10,"2022-10-01",38,53,0,5386
"osrf","ros","humble-desktop-full-jammy",2022,10,"2022-10-01",45,77,0,40
"osrf","ros","kinetic-desktop",2022,10,"2022-10-01",131,148,0,55
"osrf","ros2","sha256:0821e22c755074534583f0fba3abf712b1afbe00f6953c378a3bdbc3338330af",2022,10,"2022-10-01",2,0,2,0
"osrf","ros2","sha256:bcc2eec12d116706b7c9360876e59b0ff78d4a910f1bbc58a5db92296f29c06d",2022,10,"2022-10-01",3,0,3,0
"osrf","gazebo","gzweb8",2022,10,"2022-10-01",19,24,0,0
"osrf","ros2_packaging_aarch64_jammy_39_snapshot","latest",2022,10,"2022-10-01",19,24,0,0
"osrf","ros","sha256:d1b2479f3bb940388ffe6b6a124ed10050b5e38673996c119d637c59138c747c",2022,10,"2022-10-01",26,0,26,0
"osrf","ros","sha256:3fb9f5efc5677603ebb60471d344d17fb1e6f26ec7b4577f08ef8398cc0a3dc2",2022,10,"2022-10-01",69,0,69,0
"osrf","ros","sha256:ad675d1af97cf9c66cecbbce87d9f27bb7c77d9e2755fd904721f958ceac4ea7",2022,10,"2022-10-01",8,0,9,0
"osrf","ubuntu_arm64","xenial",2022,10,"2022-10-01",11,106,0,0
"osrf","vmrc","latest",2022,10,"2022-10-01",16,20,0,0
"osrf","vmrc","sha256:229a17134737f1dbe9769a3f9bbd70a70bc009c165ff12eb8ac3a0b697ef46ba",2022,10,"2022-10-01",1,0,1,0
"osrf","ubuntu_armhf","trusty",2022,10,"2022-10-01",11,11,0,0
"osrf","ros","sha256:a80d2125fb5d2681122707542531bc4f2c5aa1434329ef8bc2f5efed907ce335",2022,10,"2022-10-01",18,0,29,0
"osrf","lrauv","sha256:efbf78d7912f913c10fafe91d2d81c2700eb853aa520f58ed005251158cf2268",2022,10,"2022-10-01",2,0,2,0
"osrf","ros2","sha256:31f9e18e47eb988b6143040a750ca53db75eebcd4986a22f0629c07a35a61bd4",2022,10,"2022-10-01",2,0,2,0
"osrf","ros","sha256:215d42449697d551e5289fdc0fd322a7c8292fe2405866f505e2a888dd091fe8",2022,10,"2022-10-01",14,0,18,0
"osrf","ros","ardent-desktop",2022,10,"2022-10-01",4,3,0,9
"osrf","ubuntu_i386","sha256:99375ebd3e04d9cd2be5bac93a62188b83b4a227ae59196d4534ce3372c26371",2022,10,"2022-10-01",1,0,1,0
"osrf","ros_legacy","sha256:28531b8243cc737c4228e91f2524a54d5293d7217b90bc5a7a38e6749173c3c0",2022,10,"2022-10-01",2,0,2,0
"osrf","ros_legacy","sha256:a9faa4904a3047d1c3b8226bb58a83ac7cd84fb5318ca48d029356541527d962",2022,10,"2022-10-01",2,0,2,0
"osrf","ros2","sha256:ccd7ac21736388ec93828ab1d80ae04157570e534561ded700a850f2a6301937",2022,10,"2022-10-01",2,0,2,0
"osrf","ubuntu_armhf","sha256:14b5bb9bd488a4c2d425eb34760e0aa89e71d7985924ee7363c9114d0a6fbb21",2022,10,"2022-10-01",1,0,1,0
"osrf","ros","melodic-desktop-full-stretch",2022,10,"2022-10-01",1,1,0,0
"osrf","ros","noetic-desktop-full",2022,10,"2022-10-01",1471,5754,0,1648
"osrf","ros","rolling-desktop-focal",2022,10,"2022-10-01",48,48,0,0
"osrf","lrauv","gz-garden-latest",2022,10,"2022-10-01",38,43,0,0
"osrf","ros2","sha256:c9729940717c4d45fbf691d025b8820c150f3d419c55c3ca1b83ece76ea5c36c",2022,10,"2022-10-01",2,0,2,0
"osrf","ros2","sha256:fd73666194765e33038a02c33f793eceb09612e71a53093e28db2d9016d0b3ad",2022,10,"2022-10-01",2,0,2,0
"osrf","ubuntu_arm64","bionic",2022,10,"2022-10-01",9,127,0,4832
"osrf","ros","sha256:26744ce3044232a365bf91944bc392276be08cc9a0d1785d5e15902063833d06",2022,10,"2022-10-01",6,0,6,0
"osrf","mbzirc","mbzirc_sim_2022-08-17_2235",2022,10,"2022-10-01",16,21,0,0
"osrf","ros_eol","hydro",2022,10,"2022-10-01",16,21,0,0
"osrf","ros2_batch_ci_jammy_39_snapshot","sha256:2695285278e52c3e79a0a8c2e79ddcd272233f4013936383cba832dd372b2885",2022,10,"2022-10-01",3,0,3,0
"osrf","ros","sha256:6a5e9b34270f871571cf37a2231e758188053426104b53c2285b0669b64811ad",2022,10,"2022-10-01",9,0,9,0
"osrf","ubuntu_armhf","disco",2022,10,"2022-10-01",16,21,0,0
"osrf","sros","latest",2022,10,"2022-10-01",15,21,0,0
"osrf","ros","indigo-desktop",2022,10,"2022-10-01",60,60,0,0
"osrf","ros2","sha256:41f7a4508875aa67855dc4ce27919deb76939341e46e00fdd73eb1b88319871a",2022,10,"2022-10-01",2,0,2,0
"osrf","ubuntu_32bit","sha256:76390b60616e71cfe7d6355e428c3b56fb829a1bfb40f7c7106efc6978a6a73e",2022,10,"2022-10-01",2,0,2,0
"osrf","ros_legacy","sha256:46eb142bba3962fa52295e178b7fec3e42c3eb1cfc1abc725ab9503ef8992e8c",2022,10,"2022-10-01",2,0,2,0
"osrf","ros","sha256:735b3ae5bd6744b1cafcab18077cd91677193b80ce21ed1f0c53acbcf11f0a0a",2022,10,"2022-10-01",9,0,9,0
"osrf","ros","bouncy-desktop",2022,10,"2022-10-01",2,2,0,0
"osrf","ros2","sha256:b022c7e98131456d9dd2816e98bdf7fdcfe1aee5296c1ae6a0731198ea62acb7",2022,10,"2022-10-01",2,0,2,0
"osrf","ros_legacy","sha256:9fa2bbda44ac2f036454a9efc6d62b289fee93f7798f06af0eaf8a7b740d2148",2022,10,"2022-10-01",2,0,2,0
"osrf","ros2","sha256:c0f7c08f2c56554a3524ccb7e94f12e14df6f89778b5cdb80e03101d1f91e262",2022,10,"2022-10-01",1,0,1,0
"osrf","ubuntu_i386","trusty",2022,10,"2022-10-01",1,1,0,0
