"Owner","Namespace","Repo","Year","Month","Start Date","Unique IPs","Pull by tag","Pull by digest","Version check"
"osrf","osrf","vrx",2023,1,"2023-01-01",25,28,0,0
"osrf","osrf","ros",2023,1,"2023-01-01",32563,50393,1227,14542
"osrf","osrf","ros2_packaging_aarch64_jammy_39_snapshot",2023,1,"2023-01-01",25,29,0,0
"osrf","osrf","ubuntu_i386",2023,1,"2023-01-01",30,32,0,0
"osrf","osrf","ubuntu_arm64",2023,1,"2023-01-01",44,1150,1,19925
"osrf","osrf","subt-virtual-testbed",2023,1,"2023-01-01",35,50,0,10
"osrf","osrf","ubuntu_armhf",2023,1,"2023-01-01",56,2514,0,5444
"osrf","osrf","mbzirc",2023,1,"2023-01-01",32,36,0,6
"osrf","osrf","space-ros",2023,1,"2023-01-01",110,95,58,34
"osrf","osrf","debian_arm64",2023,1,"2023-01-01",34,40,1,3921
"osrf","osrf","vmrc",2023,1,"2023-01-01",26,56,0,0
"osrf","osrf","car_demo",2023,1,"2023-01-01",26,29,0,0
"osrf","osrf","ros2_batch_ci_aarch64_jammy_39_snapshot",2023,1,"2023-01-01",25,28,0,0
"osrf","osrf","debian_armhf",2023,1,"2023-01-01",23,26,0,0
"osrf","osrf","gazebo",2023,1,"2023-01-01",32,34,1,1
"osrf","osrf","ros_eol",2023,1,"2023-01-01",24,27,0,0
"osrf","osrf","ros2_packaging_jammy_39_snapshot",2023,1,"2023-01-01",27,29,0,0
"osrf","osrf","sros",2023,1,"2023-01-01",27,29,0,0
"osrf","osrf","ros_legacy",2023,1,"2023-01-01",74,27,80,3
"osrf","osrf","ros2_batch_ci_jammy_39_snapshot",2023,1,"2023-01-01",23,26,0,0
"osrf","osrf","ros2",2023,1,"2023-01-01",417,457,90,90
"osrf","osrf","ubuntu_32bit",2023,1,"2023-01-01",24,27,0,0
"osrf","osrf","lrauv",2023,1,"2023-01-01",25,27,0,0
"osrf","osrf","trusty-ros-indigo",2023,1,"2023-01-01",25,27,0,0
