"Owner","Namespace","Repo","Year","Month","Start Date","Unique IPs","Pull by tag","Pull by digest","Version check"
"osrf","osrf","ubuntu_armhf",2023,7,"2023-07-01",46,169,7,5147
"osrf","osrf","lrauv",2023,7,"2023-07-01",27,35,0,0
"osrf","osrf","vrx",2023,7,"2023-07-01",25,33,0,0
"osrf","osrf","car_demo",2023,7,"2023-07-01",26,34,0,0
"osrf","osrf","ubuntu_i386",2023,7,"2023-07-01",24,33,0,0
"osrf","osrf","ros_eol",2023,7,"2023-07-01",24,32,0,0
"osrf","osrf","ros2_packaging_aarch64_jammy_39_snapshot",2023,7,"2023-07-01",47,55,1,13
"osrf","osrf","debian_arm64",2023,7,"2023-07-01",35,44,1,1
"osrf","osrf","icra2023_ros2_gz_tutorial",2023,7,"2023-07-01",13,15,0,5
"osrf","osrf","subt-virtual-testbed",2023,7,"2023-07-01",35,40,0,11
"osrf","osrf","ros2_packaging_jammy_39_snapshot",2023,7,"2023-07-01",28,38,0,0
"osrf","osrf","vmrc",2023,7,"2023-07-01",24,65,0,0
"osrf","osrf","trusty-ros-indigo",2023,7,"2023-07-01",24,32,0,0
"osrf","osrf","ros_legacy",2023,7,"2023-07-01",76,34,131,0
"osrf","osrf","debian_armhf",2023,7,"2023-07-01",24,32,0,0
"osrf","osrf","ros2",2023,7,"2023-07-01",704,750,378,254
"osrf","osrf","space-ros",2023,7,"2023-07-01",85,27,41,23
"osrf","osrf","ros",2023,7,"2023-07-01",35950,52261,2394,35866
"osrf","osrf","ubuntu_arm64",2023,7,"2023-07-01",52,258,29,21274
"osrf","osrf","ros2_batch_ci_jammy_39_snapshot",2023,7,"2023-07-01",25,33,0,0
"osrf","osrf","ubuntu_32bit",2023,7,"2023-07-01",25,73,40,0
"osrf","osrf","mbzirc",2023,7,"2023-07-01",33,49,1,12
"osrf","osrf","ros2_batch_ci_aarch64_jammy_39_snapshot",2023,7,"2023-07-01",25,33,0,0
"osrf","osrf","sros",2023,7,"2023-07-01",25,33,0,0
"osrf","osrf","gazebo",2023,7,"2023-07-01",34,43,0,1
