"Owner","Namespace","Repo","Year","Month","Start Date","Unique IPs","Pull by tag","Pull by digest","Version check"
"osrf","osrf","ros2_packaging_jammy_39_snapshot",2023,10,"2023-10-01",30,38,0,0
"osrf","osrf","icra2023_ros2_gz_tutorial",2023,10,"2023-10-01",41,74,0,11
"osrf","osrf","vrx",2023,10,"2023-10-01",33,37,0,0
"osrf","osrf","ros",2023,10,"2023-10-01",13764,30434,2174,70671
"osrf","osrf","ros2_batch_ci_jammy_39_snapshot",2023,10,"2023-10-01",29,34,0,0
"osrf","osrf","debian_arm64",2023,10,"2023-10-01",64,110,0,3
"osrf","osrf","vmrc",2023,10,"2023-10-01",28,62,0,0
"osrf","osrf","ubuntu_i386",2023,10,"2023-10-01",29,33,0,0
"osrf","osrf","car_demo",2023,10,"2023-10-01",31,35,0,1
"osrf","osrf","space-ros",2023,10,"2023-10-01",116,89,28,31
"osrf","osrf","mbzirc",2023,10,"2023-10-01",35,38,0,1
"osrf","osrf","subt-virtual-testbed",2023,10,"2023-10-01",49,53,0,19
"osrf","osrf","gazebo",2023,10,"2023-10-01",35,38,0,1
"osrf","osrf","sros",2023,10,"2023-10-01",30,34,1,3
"osrf","osrf","ros_legacy",2023,10,"2023-10-01",60,88,28,0
"osrf","osrf","ros2",2023,10,"2023-10-01",665,930,116,207
"osrf","osrf","ubuntu_32bit",2023,10,"2023-10-01",30,52,20,0
"osrf","osrf","lrauv",2023,10,"2023-10-01",30,33,0,0
"osrf","osrf","ros_eol",2023,10,"2023-10-01",29,32,0,0
"osrf","osrf","ros2_batch_ci_aarch64_jammy_39_snapshot",2023,10,"2023-10-01",32,38,0,2
"osrf","osrf","ubuntu_arm64",2023,10,"2023-10-01",80,291,43,20391
"osrf","osrf","debian_armhf",2023,10,"2023-10-01",36,47,0,2
"osrf","osrf","trusty-ros-indigo",2023,10,"2023-10-01",27,30,0,0
"osrf","osrf","ubuntu_armhf",2023,10,"2023-10-01",83,209,11,4644
"osrf","osrf","ros2_packaging_aarch64_jammy_39_snapshot",2023,10,"2023-10-01",49,55,1,2
