"Owner","Namespace","Repo","Year","Month","Start Date","Unique IPs","Pull by tag","Pull by digest","Version check"
"osrf","osrf","ubuntu_32bit",2023,9,"2023-09-01",23,27,0,0
"osrf","osrf","mbzirc",2023,9,"2023-09-01",28,34,0,2
"osrf","osrf","sros",2023,9,"2023-09-01",23,27,0,0
"osrf","osrf","gazebo",2023,9,"2023-09-01",32,36,0,0
"osrf","osrf","ubuntu_armhf",2023,9,"2023-09-01",61,178,11,2646
"osrf","osrf","ros2_batch_ci_aarch64_jammy_39_snapshot",2023,9,"2023-09-01",24,28,0,0
"osrf","osrf","ros2",2023,9,"2023-09-01",636,917,108,255
"osrf","osrf","ros_eol",2023,9,"2023-09-01",23,27,0,0
"osrf","osrf","ros2_packaging_jammy_39_snapshot",2023,9,"2023-09-01",24,28,0,0
"osrf","osrf","subt-virtual-testbed",2023,9,"2023-09-01",32,37,0,7
"osrf","osrf","space-ros",2023,9,"2023-09-01",109,85,22,30
"osrf","osrf","ros2_packaging_aarch64_jammy_39_snapshot",2023,9,"2023-09-01",32,37,0,2
"osrf","osrf","vrx",2023,9,"2023-09-01",24,28,0,0
"osrf","osrf","trusty-ros-indigo",2023,9,"2023-09-01",24,28,0,0
"osrf","osrf","ros2_batch_ci_jammy_39_snapshot",2023,9,"2023-09-01",24,28,0,0
"osrf","osrf","lrauv",2023,9,"2023-09-01",23,27,0,0
"osrf","osrf","debian_armhf",2023,9,"2023-09-01",25,29,0,0
"osrf","osrf","ubuntu_arm64",2023,9,"2023-09-01",47,258,29,21670
"osrf","osrf","vmrc",2023,9,"2023-09-01",24,55,0,0
"osrf","osrf","ubuntu_i386",2023,9,"2023-09-01",23,27,0,0
"osrf","osrf","icra2023_ros2_gz_tutorial",2023,9,"2023-09-01",16,18,1,3
"osrf","osrf","debian_arm64",2023,9,"2023-09-01",33,60,0,0
"osrf","osrf","ros",2023,9,"2023-09-01",31275,46306,1620,55312
"osrf","osrf","ros_legacy",2023,9,"2023-09-01",44,114,7,0
"osrf","osrf","car_demo",2023,9,"2023-09-01",23,27,0,0
