,skip,arch,host,distro,release,pkg,file,path,count
29,False,amd64,ubuntu-stable,jammy,fortress,ignition-sensors6,libignition-sensors6-thermal-camera-dev_6.8.1-1%7ejammy_amd64.deb,/gazebo/ubuntu-stable/pool/main/i/ignition-sensors6/libignition-sensors6-thermal-camera-dev_6.8.1-1%7ejammy_amd64.deb,1525
30,False,amd64,ubuntu-stable,jammy,fortress,ignition-sensors6,libignition-sensors6-segmentation-camera-dev_6.8.1-1%7ejammy_amd64.deb,/gazebo/ubuntu-stable/pool/main/i/ignition-sensors6/libignition-sensors6-segmentation-camera-dev_6.8.1-1%7ejammy_amd64.deb,1524
31,False,amd64,ubuntu-stable,jammy,fortress,ignition-sensors6,libignition-sensors6-rgbd-camera-dev_6.8.1-1%7ejammy_amd64.deb,/gazebo/ubuntu-stable/pool/main/i/ignition-sensors6/libignition-sensors6-rgbd-camera-dev_6.8.1-1%7ejammy_amd64.deb,1524
32,False,amd64,ubuntu-stable,jammy,fortress,ignition-sensors6,libignition-sensors6-rendering-dev_6.8.1-1%7ejammy_amd64.deb,/gazebo/ubuntu-stable/pool/main/i/ignition-sensors6/libignition-sensors6-rendering-dev_6.8.1-1%7ejammy_amd64.deb,1523
33,False,amd64,ubuntu-stable,jammy,fortress,ignition-sensors6,libignition-sensors6-navsat-dev_6.8.1-1%7ejammy_amd64.deb,/gazebo/ubuntu-stable/pool/main/i/ignition-sensors6/libignition-sensors6-navsat-dev_6.8.1-1%7ejammy_amd64.deb,1524
34,False,amd64,ubuntu-stable,jammy,fortress,ignition-sensors6,libignition-sensors6-magnetometer-dev_6.8.1-1%7ejammy_amd64.deb,/gazebo/ubuntu-stable/pool/main/i/ignition-sensors6/libignition-sensors6-magnetometer-dev_6.8.1-1%7ejammy_amd64.deb,1524
35,False,amd64,ubuntu-stable,jammy,fortress,ignition-sensors6,libignition-sensors6-logical-camera-dev_6.8.1-1%7ejammy_amd64.deb,/gazebo/ubuntu-stable/pool/main/i/ignition-sensors6/libignition-sensors6-logical-camera-dev_6.8.1-1%7ejammy_amd64.deb,1524
36,False,amd64,ubuntu-stable,jammy,fortress,ignition-sensors6,libignition-sensors6-gpu-lidar-dev_6.8.1-1%7ejammy_amd64.deb,/gazebo/ubuntu-stable/pool/main/i/ignition-sensors6/libignition-sensors6-gpu-lidar-dev_6.8.1-1%7ejammy_amd64.deb,1523
37,False,amd64,ubuntu-stable,jammy,fortress,ignition-sensors6,libignition-sensors6-lidar-dev_6.8.1-1%7ejammy_amd64.deb,/gazebo/ubuntu-stable/pool/main/i/ignition-sensors6/libignition-sensors6-lidar-dev_6.8.1-1%7ejammy_amd64.deb,1524
38,False,amd64,ubuntu-stable,jammy,fortress,ignition-sensors6,libignition-sensors6-imu-dev_6.8.1-1%7ejammy_amd64.deb,/gazebo/ubuntu-stable/pool/main/i/ignition-sensors6/libignition-sensors6-imu-dev_6.8.1-1%7ejammy_amd64.deb,1522
39,False,amd64,ubuntu-stable,jammy,fortress,ignition-sensors6,libignition-sensors6-force-torque-dev_6.8.1-1%7ejammy_amd64.deb,/gazebo/ubuntu-stable/pool/main/i/ignition-sensors6/libignition-sensors6-force-torque-dev_6.8.1-1%7ejammy_amd64.deb,1521
